base_state,avg_run_length,flip_rate,n_bars,n_runs
BALANCE,2.9727891156462585,0.33638443935926776,437,147
TRANSITION,4.736147757255937,0.21114206128133706,1795,379
TREND,3.5062240663900415,0.285207100591716,845,241
