base_state,avg_run_length,flip_rate,n_bars,n_runs
BALANCE,2.2706766917293235,0.44039735099337746,604,266
TRANSITION,4.745916515426497,0.2107074569789675,2615,551
TREND,3.254295532646048,0.307286166842661,947,291
