open,high,low,close,tick_volume,spread,real_volume,state_hat_H1,margin_H1,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_transition_repricing_near_vwap,LOOK_FOR_transition_dislocated_from_vwap,LOOK_FOR_balance_dislocated_from_vwap,quality_label,quality_label_full,base_state
969.4,969.4,969.3,969.4,3,120,0,1,0.9987178729006825,NY_PM,2,1.5426872506195901,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
969.6,969.6,969.6,969.6,1,120,0,1,0.9987178729006825,NY_PM,2,1.5426872506195901,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
969.8,969.9,969.8,969.9,2,120,0,1,0.9987178729006825,NY_PM,2,1.5426872506195901,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
969.6,969.6,969.6,969.6,1,120,0,1,0.9996157799823462,NY_PM,3,1.4013577834724567,day_anchor_std,server_midnight,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
969.5,969.5,969.4,969.4,4,120,0,1,0.9996157799823462,NY_PM,3,1.4013577834724567,day_anchor_std,server_midnight,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
968.1,968.1,968.0,968.0,5,40,0,1,0.9983144241012799,NY,4,0.13470790378007746,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
967.8,968.3,967.6,968.3,18,40,0,1,0.9983144241012799,NY,4,0.13470790378007746,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
968.0,969.0,968.0,968.4,30,40,0,1,0.9983097619254241,NY,5,0.10305614783219319,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
968.0,968.6,967.8,967.9,14,40,0,1,0.9983097619254241,NY,5,0.10305614783219319,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
967.8,968.9,967.6,968.5,25,40,0,1,0.9983097619254241,NY,5,0.10305614783219319,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
968.3,968.8,967.9,968.0,20,40,0,1,0.9983097619254241,NY,5,0.10305614783219319,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
967.9,967.9,966.9,966.95,34,40,0,1,0.5345645815708758,NY,6,1.4646995221651988,day_anchor_std,server_midnight,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
967.0,967.0,965.9,965.9,58,40,0,1,0.5345645815708758,NY,6,1.4646995221651988,day_anchor_std,server_midnight,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
966.0,966.3,964.75,965.5,40,40,0,1,0.5345645815708758,NY,6,1.4646995221651988,day_anchor_std,server_midnight,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
965.4,965.4,963.9,964.0,41,40,0,1,0.5345645815708758,NY,6,1.4646995221651988,day_anchor_std,server_midnight,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
963.7,965.8,963.0,965.2,70,40,0,0,0.660350970568145,NY,1,0.5905074396682222,day_anchor_std,server_midnight,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
965.1,965.3,964.4,965.1,42,40,0,0,0.660350970568145,NY,1,0.5905074396682222,day_anchor_std,server_midnight,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
965.1,966.0,964.9,965.3,35,40,0,0,0.660350970568145,NY,1,0.5905074396682222,day_anchor_std,server_midnight,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
965.35,965.95,965.05,965.15,54,40,0,0,0.660350970568145,NY,1,0.5905074396682222,day_anchor_std,server_midnight,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
965.25,965.9,965.25,965.9,41,40,0,1,0.22304669879633227,NY,1,0.7227438136827148,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
966.1,967.4,966.05,966.3,44,40,0,1,0.22304669879633227,NY,1,0.7227438136827148,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
966.4,966.5,965.5,966.4,56,40,0,1,0.22304669879633227,NY,1,0.7227438136827148,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
966.45,967.9,966.45,967.8,49,40,0,1,0.22304669879633227,NY,1,0.7227438136827148,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
967.7,968.4,967.5,967.9,54,40,0,1,0.9982064635414902,NY_PM,2,0.4038922342031778,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
967.8,968.65,967.8,967.95,46,40,0,1,0.9982064635414902,NY_PM,2,0.4038922342031778,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
967.75,968.1,967.35,967.5,33,40,0,1,0.9982064635414902,NY_PM,2,0.4038922342031778,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
967.25,967.6,967.2,967.2,21,120,0,1,0.9982064635414902,NY_PM,2,0.4038922342031778,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
967.1,967.1,966.5,966.5,6,120,0,1,0.9799620089957166,NY_PM,3,0.23461297566487493,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
966.4,966.4,966.0,966.1,8,120,0,1,0.9799620089957166,NY_PM,3,0.23461297566487493,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
966.3,966.4,966.3,966.4,4,120,0,1,0.9799620089957166,NY_PM,3,0.23461297566487493,day_anchor_std,server_midnight,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
