open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_compression,LOOK_FOR_transition_inventory_reset,LOOK_FOR_transition_initiative,LOOK_FOR_trend_orderly_pullback_asia,LOOK_FOR_trend_orderly_pullback_west,LOOK_FOR_trend_overextended,quality_label,quality_label_full,base_state
4738.25,4741.95,4737.75,4739.45,0,0,0,1,0.9972634421241593,LONDON,8,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4739.25,4744.75,4737.75,4742.25,0,0,0,1,0.9972634421241593,LONDON,8,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4742.25,4746.45,4736.95,4743.25,0,0,0,1,0.9972634421241593,LONDON,8,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4743.25,4749.25,4733.75,4742.65,0,0,0,1,0.9972634421241593,LONDON,8,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4741.75,4747.25,4736.15,4737.55,0,0,0,1,0.9972634421241593,LONDON,9,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4737.65,4740.55,4733.05,4736.65,0,0,0,1,0.9972634421241593,LONDON,9,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4736.55,4744.45,4736.25,4743.45,0,0,0,1,0.9972634421241593,LONDON,9,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4743.25,4753.25,4743.05,4751.95,0,0,0,1,0.9972634421241593,LONDON,9,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4752.25,4753.95,4748.05,4750.15,0,0,0,1,0.9972634421241593,NY,10,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4750.15,4757.05,4746.15,4746.75,0,0,0,1,0.9972634421241593,NY,10,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
