base_state,avg_run_length,flip_rate,n_bars,n_runs
BALANCE,2.2535211267605635,0.44375,320,142
TRANSITION,5.108208955223881,0.19576333089846604,1369,268
TREND,3.627906976744186,0.27564102564102566,468,129
