open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_overnight_compression,LOOK_FOR_transition_repricing_london,LOOK_FOR_transition_repricing_ny,LOOK_FOR_trend_pullback_asia,quality_label,quality_label_full,base_state
6588.54,6590.79,6574.42,6576.29,2833,100,0,1,0.9762490783109605,LONDON,4,1.7386151727311685,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
6576.79,6578.66,6542.54,6551.54,4972,100,0,1,0.9762490783109605,LONDON,4,1.7386151727311685,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
6551.29,6558.42,6537.04,6549.54,4536,100,0,1,0.9762490783109605,LONDON,4,1.7386151727311685,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
6689.11,6693.49,6680.99,6682.99,1544,100,0,2,0.4262988602146389,ASIA,4,0.16787645886706928,day_anchor_std,server_midnight,0,0,0,1,TREND_FRAGILE,TREND_FRAGILE,TREND
6682.86,6684.74,6680.24,6683.24,824,100,0,2,0.4262988602146389,ASIA,4,0.16787645886706928,day_anchor_std,server_midnight,0,0,0,1,TREND_FRAGILE,TREND_FRAGILE,TREND
6683.61,6684.12,6669.86,6670.49,1175,100,0,2,0.4262988602146389,ASIA,4,0.16787645886706928,day_anchor_std,server_midnight,0,0,0,1,TREND_FRAGILE,TREND_FRAGILE,TREND
6670.37,6673.64,6668.64,6672.64,1076,100,0,2,0.4262988602146389,ASIA,4,0.16787645886706928,day_anchor_std,server_midnight,0,0,0,1,TREND_FRAGILE,TREND_FRAGILE,TREND
6672.39,6673.24,6661.74,6666.24,1977,100,0,2,0.8852069075286049,ASIA,5,0.0696019848853745,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6666.49,6683.74,6664.37,6682.24,1751,100,0,2,0.8852069075286049,ASIA,5,0.0696019848853745,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6682.49,6688.24,6681.49,6685.87,1421,100,0,2,0.8852069075286049,ASIA,5,0.0696019848853745,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6685.74,6685.99,6677.74,6680.86,1189,100,0,2,0.8852069075286049,ASIA,5,0.0696019848853745,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6680.49,6681.49,6676.99,6679.49,889,100,0,2,0.8378026795726969,ASIA,6,0.33305544444938795,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6679.24,6683.99,6678.62,6682.49,671,100,0,2,0.8378026795726969,ASIA,6,0.33305544444938795,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6682.62,6685.24,6682.49,6684.74,307,100,0,2,0.8378026795726969,ASIA,6,0.33305544444938795,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6684.99,6692.24,6683.99,6690.74,516,100,0,2,0.8378026795726969,ASIA,6,0.33305544444938795,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
6690.99,6695.99,6690.49,6694.99,582,100,0,2,0.9131352612030506,ASIA,7,0.46840295505740365,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6694.74,6695.49,6689.49,6694.86,623,100,0,2,0.9131352612030506,ASIA,7,0.46840295505740365,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6694.74,6696.79,6691.79,6695.79,394,100,0,2,0.9131352612030506,ASIA,7,0.46840295505740365,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6695.54,6699.49,6693.49,6696.49,567,100,0,2,0.9131352612030506,ASIA,7,0.46840295505740365,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6748.66,6749.04,6744.79,6747.54,551,100,0,2,0.9792051223664129,ASIA,12,0.05115380874979419,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6747.29,6748.04,6745.04,6746.04,316,100,0,2,0.9792051223664129,ASIA,12,0.05115380874979419,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6746.17,6750.42,6745.79,6749.54,453,100,0,2,0.9792051223664129,ASIA,12,0.05115380874979419,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6749.79,6750.16,6744.79,6746.29,442,100,0,2,0.9792051223664129,ASIA,12,0.05115380874979419,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6745.79,6750.29,6744.54,6749.04,957,100,0,2,0.9987731865522634,ASIA,12,0.055491618105858266,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6749.29,6750.29,6747.92,6750.29,357,100,0,2,0.9987731865522634,ASIA,12,0.055491618105858266,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6750.04,6753.04,6748.29,6749.04,430,100,0,2,0.9987731865522634,ASIA,12,0.055491618105858266,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6749.17,6750.79,6746.79,6749.04,387,100,0,2,0.9987731865522634,ASIA,12,0.055491618105858266,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6748.67,6752.79,6748.67,6752.79,306,100,0,2,0.9863445343087692,ASIA,12,0.12540900467443886,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6753.04,6753.29,6747.79,6748.79,286,100,0,2,0.9863445343087692,ASIA,12,0.12540900467443886,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6749.04,6750.54,6748.54,6748.54,191,100,0,2,0.9863445343087692,ASIA,12,0.12540900467443886,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6748.29,6749.79,6744.29,6746.04,612,100,0,2,0.9863445343087692,ASIA,12,0.12540900467443886,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6746.29,6746.29,6743.79,6745.29,400,100,0,2,0.5927182522204697,ASIA,12,0.4473983501873121,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6745.54,6745.54,6739.79,6742.29,557,100,0,2,0.5927182522204697,ASIA,12,0.4473983501873121,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6742.41,6744.04,6739.29,6740.04,909,100,0,2,0.5927182522204697,ASIA,12,0.4473983501873121,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6739.92,6741.79,6736.04,6740.04,630,100,0,2,0.5927182522204697,ASIA,12,0.4473983501873121,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6886.81,6887.06,6883.69,6885.44,538,100,0,2,0.9598996899238336,ASIA,6,0.15161360190599935,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6885.69,6886.44,6884.44,6884.94,240,100,0,2,0.9598996899238336,ASIA,6,0.15161360190599935,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6885.19,6890.44,6884.32,6889.94,452,100,0,2,0.9598996899238336,ASIA,6,0.15161360190599935,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6889.69,6890.69,6884.19,6884.19,499,100,0,2,0.9598996899238336,ASIA,6,0.15161360190599935,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6884.44,6884.94,6881.69,6883.19,632,100,0,2,0.6903447348330609,ASIA,7,0.29218228636710447,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6883.07,6884.44,6882.07,6882.44,413,100,0,2,0.6903447348330609,ASIA,7,0.29218228636710447,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6882.32,6882.94,6879.44,6880.94,427,100,0,2,0.6903447348330609,ASIA,7,0.29218228636710447,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6881.06,6883.44,6879.94,6881.04,409,100,0,2,0.6903447348330609,ASIA,7,0.29218228636710447,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6881.29,6883.04,6881.04,6882.04,213,100,0,2,0.9642607116504667,ASIA,8,0.3309793854994099,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6881.79,6882.04,6879.29,6880.94,189,100,0,2,0.9642607116504667,ASIA,8,0.3309793854994099,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6881.19,6882.44,6879.19,6880.69,204,100,0,2,0.9642607116504667,ASIA,8,0.3309793854994099,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6880.44,6883.19,6879.69,6881.44,269,100,0,2,0.9642607116504667,ASIA,8,0.3309793854994099,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6911.59,6911.71,6906.84,6910.59,307,100,0,2,0.228871478276859,ASIA,3,0.7370521871300545,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6910.84,6912.84,6910.19,6912.34,163,100,0,2,0.228871478276859,ASIA,3,0.7370521871300545,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6912.46,6913.84,6912.22,6913.59,261,100,0,2,0.228871478276859,ASIA,3,0.7370521871300545,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6913.72,6914.59,6912.22,6914.09,191,100,0,2,0.228871478276859,ASIA,3,0.7370521871300545,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
6870.39,6875.26,6868.14,6871.89,1109,100,0,0,0.8741842675558242,ASIA,2,0.09728916854645772,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6871.64,6873.14,6866.39,6869.19,750,100,0,0,0.8741842675558242,ASIA,2,0.09728916854645772,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6869.06,6871.82,6864.44,6868.17,882,100,0,0,0.8741842675558242,ASIA,2,0.09728916854645772,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6868.29,6874.76,6864.24,6874.14,670,100,0,0,0.8741842675558242,ASIA,2,0.09728916854645772,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6874.39,6878.69,6865.02,6877.94,1155,100,0,0,0.9047322418497796,ASIA,3,0.22228306565367498,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6877.69,6878.94,6874.44,6876.69,865,100,0,0,0.9047322418497796,ASIA,3,0.22228306565367498,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6876.44,6878.19,6871.44,6876.19,896,100,0,0,0.9047322418497796,ASIA,3,0.22228306565367498,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6876.69,6879.69,6875.19,6879.19,978,100,0,0,0.9047322418497796,ASIA,3,0.22228306565367498,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
