symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,baseline_id,base_state,quality_label_full,control_p_mean,uplift,uplift_pp
US500.spot.mg,M30,baseline,PARENT_ESTRATO,52.0,12.0,4.333333333333333,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_COMPRESSING,0.017030335284725917,-0.017030335284725917,-1.7030335284725917
US500.spot.mg,M30,baseline,PARENT_ESTRATO,52.0,12.0,4.333333333333333,0.7692307692307693,0.425435629811517,0.0,BALANCE_STABILITY,BALANCE,BALANCE_COMPRESSING,0.6535391165513571,0.11569165267941217,11.569165267941218
US500.spot.mg,M30,baseline,PARENT_ESTRATO,2204.0,271.0,8.132841328413285,0.02722323049001815,0.16277022808122188,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_LEAKING,0.017030335284725917,0.010192895205292232,1.0192895205292232
US500.spot.mg,M30,baseline,PARENT_ESTRATO,2204.0,271.0,8.132841328413285,0.5970961887477314,0.4905930414078381,0.0,BALANCE_STABILITY,BALANCE,BALANCE_LEAKING,0.6535391165513571,-0.0564429278036257,-5.644292780362569
US500.spot.mg,M30,baseline,PARENT_ESTRATO,19.0,5.0,3.8,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_STABLE,0.017030335284725917,-0.017030335284725917,-1.7030335284725917
US500.spot.mg,M30,baseline,PARENT_ESTRATO,19.0,5.0,3.8,1.0,0.0,0.0,BALANCE_STABILITY,BALANCE,BALANCE_STABLE,0.6535391165513571,0.3464608834486429,34.64608834486429
US500.spot.mg,M30,baseline,PARENT_ESTRATO,1483.0,196.0,7.566326530612245,0.0026972353337828725,0.051882322068588296,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_UNCLASSIFIED,0.017030335284725917,-0.014333099950943045,-1.4333099950943045
US500.spot.mg,M30,baseline,PARENT_ESTRATO,1483.0,196.0,7.566326530612245,0.7289278489548213,0.44466320730988657,0.0,BALANCE_STABILITY,BALANCE,BALANCE_UNCLASSIFIED,0.6535391165513571,0.07538873240346422,7.5388732403464225
US500.spot.mg,M30,baseline,PARENT_ESTRATO,12.0,1.0,12.0,1.0,0.0,0.0,TRANSITION_NOISE,TRANSITION,TRANSITION_FAILED,0.8674884437596302,0.1325115562403698,13.251155624036981
US500.spot.mg,M30,baseline,PARENT_ESTRATO,12.0,1.0,12.0,1.0,0.0,0.0,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_FAILED,0.7707828894269573,0.22921711057304273,22.92171105730427
