symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
US500.spot.mg,50,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-05-08 00:00:00,2023-05-08 02:00:00,2
US500.spot.mg,51,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-05-10 08:00:00,2023-05-10 08:00:00,1
US500.spot.mg,52,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-05-12 12:00:00,2023-05-12 12:00:00,1
US500.spot.mg,53,balance_stability,NONE,BALANCE_STABILITY,2023-05-25 00:00:00,2023-05-25 02:00:00,2
US500.spot.mg,54,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-05-26 08:00:00,2023-05-26 10:00:00,2
US500.spot.mg,55,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-05-29 00:00:00,2023-05-29 04:00:00,3
US500.spot.mg,56,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-05-29 06:00:00,2023-05-29 06:00:00,1
US500.spot.mg,57,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-05-30 12:00:00,2023-05-30 12:00:00,1
US500.spot.mg,58,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-06-02 00:00:00,2023-06-02 06:00:00,4
US500.spot.mg,59,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-06-05 00:00:00,2023-06-05 00:00:00,1
US500.spot.mg,60,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-06-05 02:00:00,2023-06-05 02:00:00,1
US500.spot.mg,61,balance_stability,NONE,BALANCE_STABILITY,2023-06-07 00:00:00,2023-06-07 00:00:00,1
US500.spot.mg,62,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-06-07 08:00:00,2023-06-07 08:00:00,1
US500.spot.mg,63,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-06-13 00:00:00,2023-06-16 00:00:00,5
US500.spot.mg,64,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-06-16 02:00:00,2023-06-16 02:00:00,1
US500.spot.mg,65,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-06-16 04:00:00,2023-06-16 04:00:00,1
US500.spot.mg,66,balance_stability,NONE,BALANCE_STABILITY,2023-06-22 22:00:00,2023-06-26 00:00:00,8
US500.spot.mg,67,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-06-28 02:00:00,2023-07-03 00:00:00,2
US500.spot.mg,68,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-07-03 02:00:00,2023-07-03 04:00:00,2
US500.spot.mg,69,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-07-03 06:00:00,2023-07-03 06:00:00,1
US500.spot.mg,70,balance_stability,NONE,BALANCE_STABILITY,2023-07-05 18:00:00,2023-07-05 20:00:00,2
US500.spot.mg,71,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-07-07 12:00:00,2023-07-07 12:00:00,1
US500.spot.mg,72,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-07-11 04:00:00,2023-07-12 06:00:00,5
US500.spot.mg,73,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-07-14 08:00:00,2023-07-14 08:00:00,1
US500.spot.mg,74,balance_stability,NONE,BALANCE_STABILITY,2023-07-19 22:00:00,2023-07-26 02:00:00,4
US500.spot.mg,75,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-08-10 08:00:00,2023-08-10 08:00:00,1
US500.spot.mg,76,balance_stability,NONE,BALANCE_STABILITY,2023-08-13 18:00:00,2023-08-14 06:00:00,3
US500.spot.mg,77,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-08-17 00:00:00,2023-08-17 00:00:00,1
US500.spot.mg,78,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-08-17 02:00:00,2023-08-17 02:00:00,1
US500.spot.mg,79,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-08-18 00:00:00,2023-08-18 04:00:00,3
US500.spot.mg,80,balance_stability,NONE,BALANCE_STABILITY,2023-08-20 22:00:00,2023-08-20 22:00:00,1
