symbol,episode_id,setup_family,baseline_id,intent_side,entry_ts,horizon_bars,entry_close,mfe_points,mae_points,mfe_bps,mae_bps,mfe_gt_mae,exit_ts,n_window,is_virtual_pair,ooto_tp_bps,ooto_sl_bps,ooto_outcome
US500.spot.mg,1,balance_stability,BALANCE_STABILITY,LONG,2023-01-04 22:00:00,10,3839.5,23.199999999999818,37.59999999999991,60.42453444458866,97.92941789295459,False,2023-01-05 16:00:00,10,True,,,
US500.spot.mg,3,balance_stability,BALANCE_STABILITY,LONG,2023-01-18 00:00:00,10,3995.8,18.799999999999727,69.60000000000036,47.049401871964875,174.18289203663937,False,2023-01-18 18:00:00,10,True,,,
US500.spot.mg,6,balance_stability,BALANCE_STABILITY,LONG,2023-01-20 00:00:00,10,3906.8,66.0,12.100000000000364,168.9362137810996,30.971639193202527,True,2023-01-22 20:00:00,10,True,,,
US500.spot.mg,9,balance_stability,BALANCE_STABILITY,LONG,2023-01-27 02:00:00,10,4047.55,46.44999999999982,5.450000000000273,114.76078121332613,13.46493557831348,True,2023-01-29 22:00:00,10,True,,,
US500.spot.mg,11,balance_stability,BALANCE_STABILITY,LONG,2023-02-02 22:00:00,10,4154.8,28.25,32.94999999999982,67.99364590353326,79.30586309810295,False,2023-02-03 16:00:00,10,True,,,
US500.spot.mg,17,balance_stability,BALANCE_STABILITY,LONG,2023-02-15 00:00:00,10,4119.55,33.0,15.5,80.10583680256339,37.625468801204015,True,2023-02-15 18:00:00,10,True,,,
US500.spot.mg,21,balance_stability,BALANCE_STABILITY,LONG,2023-02-19 22:00:00,10,4078.55,3.099999999999909,16.100000000000364,7.600740459231611,39.47481335278558,False,2023-02-20 20:00:00,10,True,,,
US500.spot.mg,25,balance_stability,BALANCE_STABILITY,LONG,2023-02-23 20:00:00,10,4012.3,5.199999999999818,70.25,12.960147546294689,175.08660867831418,False,2023-02-24 14:00:00,10,True,,,
US500.spot.mg,27,balance_stability,BALANCE_STABILITY,LONG,2023-02-27 20:00:00,10,3989.25,10.0,21.300000000000182,25.067368552986153,53.39349501786096,False,2023-02-28 14:00:00,10,True,,,
US500.spot.mg,29,balance_stability,BALANCE_STABILITY,LONG,2023-03-13 00:00:00,10,3926.9,10.75,120.90000000000009,27.375283302350454,307.8764419771323,False,2023-03-13 18:00:00,10,True,,,
US500.spot.mg,31,balance_stability,BALANCE_STABILITY,LONG,2023-03-13 22:00:00,10,3875.75,62.90000000000009,21.90000000000009,162.2911694510742,56.50519254337893,True,2023-03-14 16:00:00,10,True,,,
US500.spot.mg,37,balance_stability,BALANCE_STABILITY,LONG,2023-04-11 18:00:00,10,4117.15,38.0,18.199999999999818,92.29685583474007,44.20533621558559,True,2023-04-12 12:00:00,10,True,,,
US500.spot.mg,48,balance_stability,BALANCE_STABILITY,LONG,2023-05-04 20:00:00,10,4078.55,71.05000000000018,8.700000000000273,174.204067622072,21.331110321070657,True,2023-05-05 14:00:00,10,True,,,
US500.spot.mg,53,balance_stability,BALANCE_STABILITY,LONG,2023-05-25 00:00:00,10,4134.15,33.150000000000546,6.75,80.18576974710776,16.327419179275065,True,2023-05-25 18:00:00,10,True,,,
US500.spot.mg,61,balance_stability,BALANCE_STABILITY,LONG,2023-06-07 00:00:00,10,4288.0,13.149999999999636,21.949999999999818,30.666977611939448,51.18936567164137,False,2023-06-07 18:00:00,10,True,,,
US500.spot.mg,66,balance_stability,BALANCE_STABILITY,LONG,2023-06-22 22:00:00,10,4367.55,7.0,23.850000000000364,16.02729218898467,54.60727410104146,False,2023-06-23 16:00:00,10,True,,,
US500.spot.mg,70,balance_stability,BALANCE_STABILITY,LONG,2023-07-05 18:00:00,10,4448.7,2.550000000000182,60.25,5.732011598894468,135.43282307190864,False,2023-07-06 12:00:00,10,True,,,
US500.spot.mg,74,balance_stability,BALANCE_STABILITY,LONG,2023-07-19 22:00:00,10,4562.95,4.100000000000364,32.5,8.985415137137956,71.22585169681895,False,2023-07-20 16:00:00,10,True,,,
US500.spot.mg,76,balance_stability,BALANCE_STABILITY,LONG,2023-08-13 18:00:00,10,4474.8,13.899999999999636,24.25,31.06284079735326,54.19236613926879,False,2023-08-14 12:00:00,10,True,,,
US500.spot.mg,80,balance_stability,BALANCE_STABILITY,LONG,2023-08-20 22:00:00,10,4372.9,36.30000000000018,12.299999999999272,83.0112739829408,28.12778705206905,True,2023-08-21 16:00:00,10,True,,,
US500.spot.mg,84,balance_stability,BALANCE_STABILITY,LONG,2023-09-01 00:00:00,10,4513.35,27.599999999999454,12.700000000000728,61.15191598258379,28.138743948509923,True,2023-09-03 18:00:00,10,True,,,
US500.spot.mg,86,balance_stability,BALANCE_STABILITY,LONG,2023-09-03 18:00:00,10,4515.35,11.5,4.300000000000182,25.468679061423806,9.523071301228434,True,2023-09-04 12:00:00,10,True,,,
US500.spot.mg,91,balance_stability,BALANCE_STABILITY,LONG,2023-09-19 20:00:00,10,4446.55,18.550000000000182,12.25,41.71773622246502,27.54944844879738,True,2023-09-20 14:00:00,10,True,,,
US500.spot.mg,94,balance_stability,BALANCE_STABILITY,LONG,2023-09-25 20:00:00,10,4326.45,14.199999999999818,55.05000000000018,32.82136624715372,127.24057830322825,False,2023-09-26 14:00:00,10,True,,,
US500.spot.mg,96,balance_stability,BALANCE_STABILITY,LONG,2023-09-29 00:00:00,10,4299.55,33.69999999999982,26.050000000000182,78.3802956123311,60.587735925853124,True,2023-10-01 18:00:00,10,True,,,
US500.spot.mg,100,balance_stability,BALANCE_STABILITY,LONG,2023-10-08 22:00:00,10,4277.7,64.75,10.550000000000182,151.36638847979054,24.66278607663039,True,2023-10-09 16:00:00,10,True,,,
US500.spot.mg,103,balance_stability,BALANCE_STABILITY,LONG,2023-10-23 20:00:00,10,4223.9,35.900000000000546,6.5,84.9925424370855,15.388621889722769,True,2023-10-24 14:00:00,10,True,,,
US500.spot.mg,106,balance_stability,BALANCE_STABILITY,LONG,2023-10-27 04:00:00,10,4162.95,0.9499999999998181,60.94999999999982,2.2820355757331177,146.4105982536418,False,2023-10-29 22:00:00,10,True,,,
US500.spot.mg,108,balance_stability,BALANCE_STABILITY,LONG,2023-11-08 20:00:00,10,4377.85,20.449999999999818,16.300000000000182,46.712427333051195,37.232888289914406,True,2023-11-09 14:00:00,10,True,,,
