symbol,setup_family,baseline_id,episode_id,intent_side,entry_ts,horizon_bars,is_virtual_pair
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,50,LONG,2023-05-08 00:00:00,16,False
US500.spot.mg,transition_resolution,TRANSITION_RESOLUTION,51,LONG,2023-05-10 08:00:00,16,False
US500.spot.mg,transition_resolution,TRANSITION_RESOLUTION,52,SHORT,2023-05-12 12:00:00,16,False
US500.spot.mg,balance_stability,BALANCE_STABILITY,53,LONG,2023-05-25 00:00:00,10,True
US500.spot.mg,balance_stability,BALANCE_STABILITY,53,SHORT,2023-05-25 00:00:00,10,True
US500.spot.mg,transition_resolution,TRANSITION_RESOLUTION,54,LONG,2023-05-26 08:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,55,LONG,2023-05-29 00:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,56,SHORT,2023-05-29 06:00:00,16,False
US500.spot.mg,transition_resolution,TRANSITION_RESOLUTION,57,SHORT,2023-05-30 12:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,58,LONG,2023-06-02 00:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,59,SHORT,2023-06-05 00:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,60,LONG,2023-06-05 02:00:00,16,False
US500.spot.mg,balance_stability,BALANCE_STABILITY,61,LONG,2023-06-07 00:00:00,10,True
US500.spot.mg,balance_stability,BALANCE_STABILITY,61,SHORT,2023-06-07 00:00:00,10,True
US500.spot.mg,transition_resolution,TRANSITION_RESOLUTION,62,LONG,2023-06-07 08:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,63,LONG,2023-06-13 00:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,64,SHORT,2023-06-16 02:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,65,LONG,2023-06-16 04:00:00,16,False
US500.spot.mg,balance_stability,BALANCE_STABILITY,66,LONG,2023-06-22 22:00:00,10,True
US500.spot.mg,balance_stability,BALANCE_STABILITY,66,SHORT,2023-06-22 22:00:00,10,True
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,67,SHORT,2023-06-28 02:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,68,LONG,2023-07-03 02:00:00,16,False
US500.spot.mg,state_reinforcement,STATE_REINFORCEMENT,69,SHORT,2023-07-03 06:00:00,16,False
