entry_time,ret_net,equity
2023-01-05 00:00:00,-0.000323577472536362,0.9996764225274637
2023-01-05 08:00:00,-0.000324194646465738,0.9993523327830823
2023-01-10 02:00:00,-0.00032074584099559504,0.9990317946786529
2023-01-10 04:00:00,-0.0003203622228866772,0.9987117426321752
2023-01-10 06:00:00,-0.0003206361421059382,0.9983915195519417
2023-01-11 14:00:00,-0.00031961135259524415,0.9980724222879581
2023-01-18 00:00:00,-0.00031447364972876646,0.9977585548106276
2023-01-20 20:00:00,-0.00031096622388531565,0.9974482856004889
2023-01-20 22:00:00,-0.00031133896510927996,0.9971377410835001
2023-01-23 00:00:00,-0.00031146179401993354,0.9968271707737771
2023-01-27 22:00:00,-0.0003114165299894118,0.9965167423152556
2023-01-30 00:00:00,-0.0003113244259955896,0.9962065023124593
2023-01-30 02:00:00,-0.00031110166283838784,0.9958965808130594
2023-02-01 20:00:00,-0.00031133250311332503,0.9955865258377129
2023-02-07 02:00:00,-0.00032086934200393596,0.9952670726442594
2023-02-07 06:00:00,-0.0003203194652800393,0.9949482692277392
2023-02-08 04:00:00,-0.00031967265520107407,0.9946302114727275
2023-02-08 14:00:00,-0.00031918628775707793,0.9943127391478365
2023-02-08 16:00:00,-0.000320264752195148,0.9939942958248288
2023-02-09 16:00:00,-0.00031925931838135526,0.9936769538834688
2023-02-10 22:00:00,-0.0003218400669427339,0.9933571488261115
2023-02-13 00:00:00,-0.00032162958992227285,0.9930376557736881
2023-02-13 02:00:00,-0.00032204563386631883,0.9927178523323813
2023-02-14 12:00:00,-0.0003227246567016464,0.9923974778042857
2023-02-14 14:00:00,-0.000322554632690912,0.9920773754003491
2023-02-14 16:00:00,-0.00032320272352161683,0.9917567332906756
2023-02-17 02:00:00,-0.0003274072618930688,0.9914320249341649
2023-02-21 02:00:00,-0.0003258018798768469,0.9911090145166712
2023-02-21 04:00:00,-0.0003258496529701196,0.9907860619882354
2023-02-22 04:00:00,-0.00032679560568842216,0.9904622774570003
2023-02-22 12:00:00,-0.00032726082687902256,0.9901381379530872
2023-02-22 18:00:00,-0.0003273125998985331,0.9898140532648951
2023-02-23 22:00:00,-0.0003290357607032591,0.9894883690449243
2023-02-24 00:00:00,-0.00032939523035706444,0.9891624362956671
2023-02-24 04:00:00,-0.00032879414746417513,0.9888372054757216
2023-02-28 02:00:00,-0.00033030189593288265,0.988510590671984
2023-03-14 20:00:00,-0.000314704571083895,0.9881995018705347
2023-03-15 00:00:00,-0.0003151790216843167,0.9878880421183063
2023-03-15 02:00:00,-0.0003152750775051232,0.987576585639261
2023-03-17 02:00:00,-0.00031227230144686166,0.9872681928260084
2023-03-17 04:00:00,-0.0003120871347280161,0.9869600791245013
2023-03-28 10:00:00,-0.000307108015007345,0.9866569757737099
2023-03-28 12:00:00,-0.0003071410289224469,0.9863539329349772
2023-03-30 02:00:00,-0.00030564682509360435,0.986052456986957
2023-03-30 04:00:00,-0.00030629747610879684,0.9857504316080711
2023-03-30 06:00:00,-0.00030621775144305113,0.9854485773274201
2023-03-31 12:00:00,-0.0003033091023061602,0.985149681804062
2023-03-31 14:00:00,-0.00030303030303030303,0.9848511515974548
2023-04-06 10:00:00,-0.000297598381064807,0.9845580614891496
2023-04-13 00:00:00,-0.000297880579675608,0.9842647807630689
2023-04-13 02:00:00,-0.00029734618529623114,0.9839721133851876
2023-04-13 04:00:00,-0.0002973756598022452,0.9836795040287427
2023-04-21 00:00:00,-0.0002993967156180297,0.9833849936160157
2023-04-21 02:00:00,-0.0002992473928070902,0.9830907182205505
2023-04-21 04:00:00,-0.00029972724820413423,0.9827960591448432
2023-04-25 00:00:00,-0.00030168794404694264,0.9824995614223424
2023-04-26 08:00:00,-0.00030061023878473296,0.9822042119945774
2023-04-26 14:00:00,-0.0003006720019243008,0.9819088906878586
2023-04-27 02:00:00,-0.00030129859695286683,0.9816130429167588
2023-04-28 02:00:00,-0.0003019946748272339,0.9813166010050569
2023-05-01 02:00:00,-0.0003019992349352715,0.9810202441423241
2023-05-04 22:00:00,-0.00029277861544992756,0.9807330223935158
2023-05-05 00:00:00,-0.00029279718914698423,0.9804458665212553
2023-05-05 06:00:00,-0.0002927414751242931,0.9801588493520104
2023-05-10 10:00:00,-0.0002953555342243225,0.9798693540114353
2023-05-15 00:00:00,-0.00029879138883217384,0.9795765774862761
2023-05-15 06:00:00,-0.0002979737783075089,0.979284689352341
2023-05-15 08:00:00,-0.000297548202808855,0.9789933049529861
2023-05-18 02:00:00,-0.00030267107221227334,0.9786969919996873
2023-05-22 10:00:00,-0.0003035761267733905,0.9783998829575713
2023-05-22 12:00:00,-0.0003031313468125739,0.9781032992833291
2023-05-26 22:00:00,-0.0003081616616076794,0.977801885345398
2023-05-29 00:00:00,-0.0003089121145034238,0.9774998304974305
2023-05-29 02:00:00,-0.0003087499742708355,0.9771980274499146
2023-06-01 08:00:00,-0.00030575429584785667,0.9768992449551277
2023-06-07 08:00:00,-0.00030569198475615967,0.9766006146860305
2023-06-07 12:00:00,-0.00030548498286738385,0.9763022778639848
2023-06-12 22:00:00,-0.0003064773998457397,0.9760030632804015
2023-06-13 10:00:00,-0.0003058337793409282,0.9757045685749102
2023-06-20 08:00:00,-0.0003079370781903564,0.9754041129608862
2023-06-27 00:00:00,-0.0003120384431361944,0.9750997493800493
2023-06-27 08:00:00,-0.0003117401334247771,0.974795771654075
2023-06-27 12:00:00,-0.00031190218747400813,0.9744917307205557
2023-06-29 22:00:00,-0.00031457917171304087,0.9741851759190644
2023-07-05 02:00:00,-0.0003115297147426245,0.9738816882891039
2023-07-05 04:00:00,-0.00031188435328180313,0.9735779498285789
2023-07-05 06:00:00,-0.0003118503118503118,0.9732743392413142
2023-07-11 02:00:00,-0.00031177415080515673,0.9729708974606968
2023-07-12 10:00:00,-0.0003101833183411396,0.9726690981190731
2023-07-12 12:00:00,-0.0003100647001674349,0.9723675077668026
2023-07-12 14:00:00,-0.0003101929400086854,0.9720658862307995
2023-07-13 20:00:00,-0.000306177123465925,0.971768261893934
2023-07-14 00:00:00,-0.00030612869650401025,0.9714707757426163
2023-07-14 02:00:00,-0.0003061615001913509,0.9711733487925229
2023-07-17 08:00:00,-0.00030712373503411633,0.9708750784062762
2023-07-17 10:00:00,-0.0003073943716090558,0.9705766368716385
2023-07-20 02:00:00,-0.000303437951996116,0.9702821270846909
2023-07-27 02:00:00,-0.0003043105590692154,0.9699868599881428
2023-08-04 02:00:00,-0.00031000702682594137,0.9696861572456177
2023-08-04 04:00:00,-0.00030988694291366034,0.9693856641667631
2023-08-04 06:00:00,-0.0003100999555523397,0.9690850577153919
2023-08-09 12:00:00,-0.00031155559709630185,0.9687831338415983
2023-08-14 00:00:00,-0.00031357792411414236,0.9684793448375715
2023-08-14 02:00:00,-0.0003135959525215728,0.9681756336349296
2023-08-15 04:00:00,-0.0003148432867540182,0.9678708100362808
2023-08-21 00:00:00,-0.0003175359212510915,0.9675634762869639
2023-08-21 08:00:00,-0.0003178538507994024,0.9672559325101333
2023-08-22 20:00:00,-0.00031622886537083103,0.9669500582640724
2023-08-23 00:00:00,-0.00031627387208830364,0.9666442372250292
2023-09-01 00:00:00,-0.00030931821110967905,0.9663452365587913
2023-09-01 06:00:00,-0.0003095096850738954,0.9660461433489513
2023-09-01 08:00:00,-0.00030937722364879496,0.9657472706752055
2023-09-04 10:00:00,-0.00030873249872647845,0.9654491131071917
2023-09-07 22:00:00,-0.0003127622641902845,0.9651471570566158
2023-09-08 00:00:00,-0.00031262211801484955,0.9648454307081807
2023-09-08 02:00:00,-0.0003125195324707794,0.9645438976652693
2023-09-12 02:00:00,-0.00031229505636925765,0.9642426753743774
2023-09-14 06:00:00,-0.0003142512962865972,0.9639396608637061
2023-09-14 08:00:00,-0.00031451980688483854,0.9636364827477226
2023-09-20 08:00:00,-0.0003107874317562598,0.9633369966401029
2023-09-20 14:00:00,-0.00031060884510454573,0.96303777564813
2023-09-25 00:00:00,-0.00031171098157788097,0.9627375861977862
2023-09-25 02:00:00,-0.0003117919723960174,0.9624374123468857
2023-09-29 14:00:00,-0.00032102213447617213,0.9621284486344744
2023-10-03 20:00:00,-0.00032909351192141246,0.9618118184043938
2023-10-03 22:00:00,-0.00032902493460629424,0.9614953583337397
2023-10-04 00:00:00,-0.00032912239513337686,0.9611789086784952
2023-10-05 08:00:00,-0.00032860507147160304,0.960863060414512
2023-10-05 10:00:00,-0.0003296033224014898,0.9605463567574265
2023-10-05 22:00:00,-0.00032967395246101604,0.9602296896434723
2023-10-17 02:00:00,-0.0003126514405415123,0.9599294724477546
2023-10-17 08:00:00,-0.00031312788664770503,0.9596288917607162
2023-10-18 02:00:00,-0.0003117806311479243,0.9593296980591753
2023-10-19 12:00:00,-0.00030763866812965945,0.9590345711485672
2023-10-19 14:00:00,-0.00030740539598938426,0.9587397587464557
2023-10-23 08:00:00,-0.0003037251894485869,0.9584485653315985
2023-10-24 02:00:00,-0.0003040715176209444,0.9581571284217766
2023-10-24 04:00:00,-0.00030360992197225005,0.9578662224107793
2023-10-26 00:00:00,-0.0003030149992424625,0.9575759745781212
