symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,baseline_id,base_state,quality_label_full,control_p_mean,uplift,uplift_pp
USDCLP.mg,M15,baseline,PARENT_ESTRATO,28.0,4.0,7.0,0.4642857142857143,0.50787450018337,0.0,BALANCE_DEGRADATION,BALANCE,BALANCE_COMPRESSING,0.7893333333333333,-0.32504761904761903,-32.50476190476191
USDCLP.mg,M15,baseline,PARENT_ESTRATO,28.0,4.0,7.0,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_COMPRESSING,0.04666666666666667,-0.04666666666666667,-4.666666666666667
USDCLP.mg,M15,baseline,PARENT_ESTRATO,437.0,79.0,5.531645569620253,0.8283752860411899,0.37748609079755074,0.0,BALANCE_DEGRADATION,BALANCE,BALANCE_LEAKING,0.7893333333333333,0.0390419527078566,3.9041952707856598
USDCLP.mg,M15,baseline,PARENT_ESTRATO,437.0,79.0,5.531645569620253,0.04805491990846682,0.2141274521966422,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_LEAKING,0.04666666666666667,0.0013882532418001484,0.13882532418001484
USDCLP.mg,M15,baseline,PARENT_ESTRATO,2.0,1.0,2.0,0.0,0.0,0.0,BALANCE_DEGRADATION,BALANCE,BALANCE_STABLE,0.7893333333333333,-0.7893333333333333,-78.93333333333334
USDCLP.mg,M15,baseline,PARENT_ESTRATO,2.0,1.0,2.0,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_STABLE,0.04666666666666667,-0.04666666666666667,-4.666666666666667
USDCLP.mg,M15,baseline,PARENT_ESTRATO,283.0,55.0,5.1454545454545455,0.7667844522968198,0.4236274199849263,0.0,BALANCE_DEGRADATION,BALANCE,BALANCE_UNCLASSIFIED,0.7893333333333333,-0.022548881036513535,-2.2548881036513535
USDCLP.mg,M15,baseline,PARENT_ESTRATO,283.0,55.0,5.1454545454545455,0.04946996466431095,0.2172312923553319,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_UNCLASSIFIED,0.04666666666666667,0.002803297997644283,0.2803297997644283
USDCLP.mg,M15,baseline,PARENT_ESTRATO,8.0,2.0,4.0,1.0,0.0,0.0,TRANSITION_NOISE,TRANSITION,TRANSITION_FAILED,0.7514014135998051,0.24859858640019494,24.859858640019496
USDCLP.mg,M15,baseline,PARENT_ESTRATO,8.0,2.0,4.0,0.0,0.0,0.0,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_FAILED,0.5803070923714355,-0.5803070923714355,-58.030709237143554
USDCLP.mg,M15,baseline,PARENT_ESTRATO,8.0,2.0,4.0,0.0,0.0,0.0,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_FAILED,0.24859858640019497,-0.24859858640019497,-24.859858640019496
USDCLP.mg,M15,baseline,PARENT_ESTRATO,1096.0,125.0,8.768,0.7782846715328468,0.41559021701328647,0.0,TRANSITION_NOISE,TRANSITION,TRANSITION_NOISY,0.7514014135998051,0.026883257933041693,2.6883257933041693
USDCLP.mg,M15,baseline,PARENT_ESTRATO,1096.0,125.0,8.768,0.5273722627737226,0.49947811312887763,0.0,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_NOISY,0.5803070923714355,-0.052934829597712896,-5.293482959771289
USDCLP.mg,M15,baseline,PARENT_ESTRATO,1096.0,125.0,8.768,0.22171532846715328,0.41559021701328647,0.0,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_NOISY,0.24859858640019497,-0.026883257933041693,-2.6883257933041693
USDCLP.mg,M15,baseline,PARENT_ESTRATO,3007.0,218.0,13.793577981651376,0.7409136378792931,0.4382061713887354,0.002660458929165281,TRANSITION_NOISE,TRANSITION,TRANSITION_UNCLASSIFIED,0.7514014135998051,-0.01048777572051196,-1.048777572051196
USDCLP.mg,M15,baseline,PARENT_ESTRATO,3007.0,218.0,13.793577981651376,0.6012004001333778,0.4897330413817889,0.002660458929165281,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_UNCLASSIFIED,0.5803070923714355,0.020893307761942315,2.0893307761942315
USDCLP.mg,M15,baseline,PARENT_ESTRATO,3007.0,218.0,13.793577981651376,0.2590863621207069,0.4382061713887354,0.002660458929165281,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_UNCLASSIFIED,0.24859858640019497,0.010487775720511933,1.0487775720511934
USDCLP.mg,M15,baseline,PARENT_ESTRATO,212.0,39.0,5.435897435897436,0.7075471698113207,0.4559658491426411,0.0,STATE_FRAGILITY,TREND,TREND_FRAGILE,0.5281231497927767,0.17942402001854396,17.942402001854397
USDCLP.mg,M15,baseline,PARENT_ESTRATO,212.0,39.0,5.435897435897436,0.29245283018867924,0.4559658491426411,0.0,STATE_REINFORCEMENT,TREND,TREND_FRAGILE,0.4718768502072232,-0.17942402001854396,-17.942402001854397
USDCLP.mg,M15,baseline,PARENT_ESTRATO,828.0,109.0,7.5963302752293576,0.5048309178743962,0.5002788537140042,0.0,STATE_FRAGILITY,TREND,TREND_STRONG,0.5281231497927767,-0.02329223191838059,-2.329223191838059
USDCLP.mg,M15,baseline,PARENT_ESTRATO,828.0,109.0,7.5963302752293576,0.49516908212560384,0.5002788537140042,0.0,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.4718768502072232,0.023292231918380646,2.3292231918380644
USDCLP.mg,M15,baseline,PARENT_ESTRATO,649.0,101.0,6.425742574257426,0.49922958397534667,0.5003850597413254,0.0,STATE_FRAGILITY,TREND,TREND_UNCLASSIFIED,0.5281231497927767,-0.028893565817430078,-2.889356581743008
USDCLP.mg,M15,baseline,PARENT_ESTRATO,649.0,101.0,6.425742574257426,0.5007704160246533,0.5003850597413254,0.0,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED,0.4718768502072232,0.028893565817430134,2.889356581743013
