# TOPLINE
symbol,entry_mode,mode,time_stop_bars,setup_families,side,trigger_unit,allow_overlapping_trades,max_positions,use_spread,has_spread_column,point_size,mean_spread_ret,exit_mode,arm_state_value,catastrophic_sl_bps,tp_k,sl_k,n_trades,trades_per_week,ev_per_trade,ev_month_est,winrate,max_drawdown
XAUUSD.mg,next_open,long,10,transition_persistence,LONG,bars,False,1,True,True,0.01,0.0002411332007479615,fixed,2.0,350.0,1.5,1.0,495,3.1701738334858187,-6.141939582664052e-05,-0.0008430949993734765,0.4444444444444444,-0.12054746556309781

# YEARLY
year,trades,ev_trade,winrate,p5,p50,p95
2023,156,9.205086618625059e-05,0.44871794871794873,-0.004744027726056541,-0.0020860181772905653,0.006713808189209046
2024,147,-0.00021143012825490865,0.43537414965986393,-0.005436047059847503,-0.0023691015670044887,0.006087870226933055
2025,192,-7.126201669672176e-05,0.4479166666666667,-0.007388774924976137,-0.002372651968650241,0.006909264800242881
