open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_vwap_proximity,LOOK_FOR_balance_extreme_to_center,LOOK_FOR_balance_compression,LOOK_FOR_balance_vwap_body_deviation,LOOK_FOR_trend_strong_orderly,LOOK_FOR_trend_liquidity_sweep,LOOK_FOR_trend_prev_vwap_pullback,LOOK_FOR_transition_chop_near_vwap,LOOK_FOR_transition_acceptance,quality_label,quality_label_full,base_state
1833.2,1833.57,1830.82,1833.18,0,0,0,1,0.8177033402479617,LONDON,7,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_FAILED,TRANSITION_FAILED,TRANSITION
1833.18,1835.55,1831.75,1835.36,0,0,0,1,0.8177033402479617,LONDON,7,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_FAILED,TRANSITION_FAILED,TRANSITION
1835.44,1836.41,1833.75,1834.6,0,0,0,1,0.8177033402479617,LONDON,7,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_FAILED,TRANSITION_FAILED,TRANSITION
1834.77,1840.45,1834.17,1838.89,0,0,0,1,0.8177033402479617,NY,8,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1838.86,1841.0,1837.03,1838.88,0,0,0,1,0.8177033402479617,NY,8,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1838.88,1841.38,1836.7,1841.22,0,0,0,1,0.8177033402479617,NY,8,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1841.26,1849.83,1839.49,1844.96,0,0,0,1,0.8177033402479617,NY,8,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1844.98,1845.45,1832.57,1833.63,0,0,0,1,0.8177033402479617,NY,9,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1833.51,1834.01,1827.59,1833.23,0,0,0,1,0.8177033402479617,NY,9,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1833.21,1834.17,1828.37,1830.0,0,0,0,1,0.8177033402479617,NY,9,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1830.0,1834.3,1828.6,1834.29,0,0,0,1,0.8177033402479617,NY,9,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1834.3,1837.81,1834.01,1837.55,0,0,0,1,0.8333954976753061,NY_PM,10,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1837.38,1839.25,1836.83,1839.25,0,0,0,1,0.8333954976753061,NY_PM,10,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1839.3,1840.25,1837.41,1840.1,0,0,0,1,0.8333954976753061,NY_PM,10,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1840.1,1840.22,1838.01,1838.84,0,0,0,1,0.8333954976753061,NY_PM,10,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1838.84,1839.28,1836.55,1837.1,0,0,0,0,0.9966765009092226,NY_PM,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_COMPRESSING,BALANCE_COMPRESSING,BALANCE
1837.09,1839.24,1836.55,1839.07,0,0,0,0,0.9966765009092226,NY_PM,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_COMPRESSING,BALANCE_COMPRESSING,BALANCE
1839.07,1839.62,1837.52,1838.39,0,0,0,0,0.9966765009092226,NY_PM,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_COMPRESSING,BALANCE_COMPRESSING,BALANCE
1838.4,1838.79,1836.68,1838.22,0,0,0,0,0.9966765009092226,NY_PM,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_COMPRESSING,BALANCE_COMPRESSING,BALANCE
1838.2,1839.41,1837.79,1839.41,0,0,0,0,0.9939122340762822,NY_PM,2,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_COMPRESSING,BALANCE_COMPRESSING,BALANCE
1839.39,1839.87,1837.22,1837.22,0,0,0,0,0.9939122340762822,NY_PM,2,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_COMPRESSING,BALANCE_COMPRESSING,BALANCE
1838.87,1839.24,1837.38,1838.05,0,0,0,0,0.007695224687134128,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1838.03,1838.07,1836.52,1836.52,0,0,0,0,0.007695224687134128,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1836.57,1838.99,1836.23,1837.85,0,0,0,0,0.007695224687134128,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1837.84,1839.24,1837.54,1838.67,0,0,0,0,0.007695224687134128,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1838.75,1840.45,1838.25,1839.96,0,0,0,1,0.2688700643383134,ASIA,1,0.7282365280494237,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1839.94,1844.57,1839.24,1844.32,0,0,0,1,0.2688700643383134,ASIA,1,0.7282365280494237,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1844.35,1845.72,1843.52,1844.47,0,0,0,1,0.2688700643383134,ASIA,1,0.7282365280494237,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1844.43,1846.04,1844.09,1845.8,0,0,0,1,0.2688700643383134,ASIA,1,0.7282365280494237,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1845.74,1847.19,1845.22,1845.71,0,0,0,1,0.4304589392102975,ASIA,2,0.7615290355360201,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1845.7,1846.06,1845.09,1845.67,0,0,0,1,0.4304589392102975,ASIA,2,0.7615290355360201,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1845.65,1846.73,1845.47,1845.86,0,0,0,1,0.4304589392102975,ASIA,2,0.7615290355360201,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
