base_state,avg_run_length,flip_rate,n_bars,n_runs
BALANCE,2.4172185430463577,0.4136986301369863,365,151
TRANSITION,4.716783216783217,0.21200889547813195,1349,286
TREND,3.0583941605839415,0.3269689737470167,419,137
