open,high,low,close,tick_volume,spread,real_volume,state_hat_H1,margin_H1,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_transition_repricing_near_vwap,LOOK_FOR_transition_dislocated_from_vwap,LOOK_FOR_balance_dislocated_from_vwap,LOOK_FOR_trend_late_session,quality_label,quality_label_full,base_state
806.45,807.0,806.2,806.5,0,0,0,1,0.9582547726016728,NY,1,0.6468646864686899,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
806.25,806.25,805.95,806.05,0,0,0,1,0.9582547726016728,NY,1,0.6468646864686899,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
805.9,805.95,805.55,805.75,0,0,0,1,0.9582547726016728,NY,1,0.6468646864686899,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
805.85,806.25,805.85,805.95,0,0,0,1,0.5255194205399951,NY,2,1.23832020997378,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
806.45,807.3,806.35,807.3,0,0,0,1,0.5255194205399951,NY,2,1.23832020997378,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
807.5,807.5,806.55,806.55,0,0,0,1,0.5255194205399951,NY,2,1.23832020997378,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
806.7,807.45,806.55,807.45,0,0,0,1,0.5255194205399951,NY,2,1.23832020997378,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
807.55,807.9,807.05,807.1,0,0,0,1,0.9815063541178861,NY_PM,3,0.5027777777777939,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
807.15,807.95,807.05,807.25,0,0,0,1,0.9815063541178861,NY_PM,3,0.5027777777777939,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
807.45,807.85,807.2,807.2,0,0,0,1,0.9815063541178861,NY_PM,3,0.5027777777777939,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
807.3,807.85,805.95,805.95,0,0,0,1,0.9815063541178861,NY_PM,3,0.5027777777777939,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
805.85,806.25,804.95,805.45,0,0,0,1,0.9934212285885378,NY_PM,4,0.584320360970113,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
805.65,806.05,805.3,806.05,0,0,0,1,0.9934212285885378,NY_PM,4,0.584320360970113,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
806.15,806.15,805.85,806.05,0,0,0,1,0.9934212285885378,NY_PM,4,0.584320360970113,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
807.25,807.25,807.15,807.15,0,0,0,1,0.9566371118958209,NY_PM,5,1.1795841209829643,day_anchor_std,server_midnight,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
806.95,806.95,806.95,806.95,0,0,0,1,0.94340571578268,NY_PM,6,1.2161616161615978,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
