open,high,low,close,tick_volume,spread,real_volume,state_hat_H1,margin_H1,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_transition_repricing_near_vwap,LOOK_FOR_transition_dislocated_from_vwap,LOOK_FOR_balance_dislocated_from_vwap,LOOK_FOR_trend_late_session,quality_label,quality_label_full,base_state
835.3,835.3,835.2,835.2,0,0,0,2,0.98017724692536,NY_PM,8,0.3316858868753166,day_anchor_std,server_midnight,0,0,0,1,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
830.7,830.7,828.1,828.8,0,0,0,1,0.22300487813091813,NY,3,2.076322636600195,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
828.65,828.8,825.8,825.9,0,0,0,1,0.22300487813091813,NY,3,2.076322636600195,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
825.8,825.9,824.5,825.4,0,0,0,1,0.22300487813091813,NY,3,2.076322636600195,day_anchor_std,server_midnight,0,1,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
827.6,827.6,827.6,827.6,0,0,0,1,0.885248047951959,NY_PM,4,1.4005391873676163,day_anchor_std,server_midnight,0,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
827.1,827.1,826.8,826.8,0,0,0,1,0.9471431780735579,NY_PM,5,1.5301587301587352,day_anchor_std,server_midnight,0,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
826.6,826.6,826.6,826.6,0,0,0,1,0.9471431780735579,NY_PM,5,1.5301587301587352,day_anchor_std,server_midnight,0,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
827.8,828.0,827.3,827.3,0,0,0,1,0.9876444069303898,NY,6,0.245169082125583,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
827.8,829.7,826.4,826.6,0,0,0,1,0.9876444069303898,NY,6,0.245169082125583,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
826.5,827.4,824.8,824.8,0,0,0,1,0.6709769570300635,NY,7,0.06900800985828331,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
824.7,825.1,823.2,824.6,0,0,0,1,0.6709769570300635,NY,7,0.06900800985828331,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
824.7,826.9,824.45,826.9,0,0,0,1,0.6709769570300635,NY,7,0.06900800985828331,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
827.1,827.9,826.3,826.8,0,0,0,1,0.6709769570300635,NY,7,0.06900800985828331,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
827.0,828.4,826.25,826.4,0,0,0,1,0.9979989691659626,NY,8,0.7099567099567142,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
826.5,827.4,825.4,825.85,0,0,0,1,0.9979989691659626,NY,8,0.7099567099567142,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
825.8,826.3,825.6,825.95,0,0,0,1,0.9979989691659626,NY,8,0.7099567099567142,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
825.45,825.45,822.9,823.8,0,0,0,1,0.9979989691659626,NY,8,0.7099567099567142,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
822.8,822.8,822.8,822.8,0,0,0,1,0.998949931089074,NY_PM,1,0.7524841915085994,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
823.1,823.1,822.8,822.8,0,0,0,2,0.993495083690356,NY_PM,1,0.903885480572596,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
823.1,823.3,823.1,823.3,0,0,0,2,0.993495083690356,NY_PM,1,0.903885480572596,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
823.0,823.0,822.4,822.4,0,0,0,2,0.993495083690356,NY_PM,1,0.903885480572596,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
822.1,822.1,822.1,822.1,0,0,0,2,0.993495083690356,NY_PM,1,0.903885480572596,day_anchor_std,server_midnight,0,0,0,1,TREND_STRONG,TREND_STRONG,TREND
825.3,825.4,822.8,822.8,0,0,0,1,0.9910791447618201,NY,3,0.1419188001034339,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
822.5,822.5,820.1,821.1,0,0,0,1,0.9910791447618201,NY,3,0.1419188001034339,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
820.1,821.7,820.0,821.0,0,0,0,1,0.9910791447618201,NY,3,0.1419188001034339,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
818.95,819.0,818.95,819.0,0,0,0,1,0.9967772940424298,NY_PM,4,0.2939346811819652,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
818.6,818.6,818.6,818.6,0,0,0,1,0.98909561543662,NY_PM,5,0.4012539184952974,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
818.7,818.7,818.7,818.7,0,0,0,1,0.98909561543662,NY_PM,5,0.4012539184952974,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
818.6,818.6,818.6,818.6,0,0,0,1,0.98909561543662,NY_PM,5,0.4012539184952974,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
818.5,818.5,818.5,818.5,0,0,0,1,0.98909561543662,NY_PM,5,0.4012539184952974,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
824.3,824.7,824.2,824.7,0,0,0,1,0.9907166912596067,NY,6,0.10416666666669062,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
824.85,825.2,823.6,823.65,0,0,0,1,0.9907166912596067,NY,6,0.10416666666669062,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
