base_state,avg_run_length,flip_rate,n_bars,n_runs
BALANCE,2.8886075949367087,0.3461875547765118,1141,395
TRANSITION,4.402200488997555,0.22715912246598166,3601,818
TREND,3.161073825503356,0.31634819532908703,1413,447
