base_state,avg_run_length,flip_rate,n_bars,n_runs
BALANCE,2.8926553672316384,0.345703125,512,177
TRANSITION,4.684895833333333,0.21345191773207337,1799,384
TREND,3.420814479638009,0.2923280423280423,756,221
