sample,trades,ev_trade_net,ev_total_net,winrate,mean_cost,pct_zero_cost
pre_spread_live_2025,13,0.00023875337640864744,0.0031037938933124168,0.46153846153846156,0.0,1.0
post_spread_live_2025,43,0.0014589977117803973,0.06273690160655708,0.5581395348837209,0.00016791890877375539,0.0
