combo,sample,trades,ev_trade_net_w,ev_total_net_w,winrate_w
w_trend1_transition1,research_2023_2024,291,0.0005286197900764233,0.15382835891223917,0.5498281786941581
w_trend1_transition1,oos_2025,192,0.0031148203476411614,0.598045506747103,0.65625
w_trend1_transition1,full_2023_2025,483,0.0015566746701021577,0.7518738656593421,0.5921325051759835
w_trend1_transition0.5,research_2023_2024,291,0.00043615411168562387,0.12692084650051655,0.5498281786941581
w_trend1_transition0.5,oos_2025,192,0.00203732455426164,0.3911663144182349,0.65625
w_trend1_transition0.5,full_2023_2025,483,0.0010726442255046616,0.5180871609187515,0.5921325051759835
w_trend1_transition0.25,research_2023_2024,291,0.00038992127249022407,0.11346709029465521,0.5498281786941581
w_trend1_transition0.25,oos_2025,192,0.0014985766575718797,0.2877267182538009,0.65625
w_trend1_transition0.25,full_2023_2025,483,0.0008306290032059132,0.4011938085484561,0.5921325051759835
