run,trades,ev_trade_net,ev_total_net,winrate,mean_cost
state_reinforcement_long_NY_NYPM_2025,56,0.0011757267053548125,0.0658406954998695,0.5357142857142857,0.00012893773352270504
state_reinforcement_long_NY_NYPM,147,0.0009452641403457506,0.13895382863082534,0.5306122448979592,4.911913658007811e-05
state_reinforcement_long,264,0.00042756437875115366,0.11287699599030457,0.4583333333333333,6.003147163035975e-05
transition_persistence_long,495,0.0001232190994395314,0.06099345422256805,0.4444444444444444,5.649470548178957e-05
