ctx_session_bucket,trades,ev_trade_net,ev_total_net,winrate,mean_cost
ASIA,1,-0.0031566754737206077,-0.0031566754737206077,0.0,0.00014215516710339897
NY,11,0.0023120840865920897,0.025432924952512984,0.5454545454545454,0.0001673833984455706
NY_PM,31,0.001305182326702087,0.0404606521277647,0.5806451612903226,0.00016894001700860665
