symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
XAUUSD.mg,689,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-08-27 10:00:00,2024-08-27 12:00:00,2
XAUUSD.mg,690,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-08-27 14:00:00,2024-08-27 16:00:00,2
XAUUSD.mg,691,balance_stability,NONE,BALANCE_STABILITY,2024-08-28 00:00:00,2024-08-28 00:00:00,1
XAUUSD.mg,692,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-08-29 14:00:00,2024-08-29 14:00:00,1
XAUUSD.mg,693,transition_persistence_flat,NONE,TRANSITION_PERSISTENCE,2024-08-30 00:00:00,2024-08-30 00:00:00,1
XAUUSD.mg,694,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-08-30 02:00:00,2024-08-30 08:00:00,2
XAUUSD.mg,695,state_reinforcement,SHORT,STATE_REINFORCEMENT,2024-08-30 20:00:00,2024-08-30 20:00:00,1
XAUUSD.mg,696,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-08-30 22:00:00,2024-09-02 10:00:00,7
XAUUSD.mg,697,balance_stability,NONE,BALANCE_STABILITY,2024-09-03 06:00:00,2024-09-03 06:00:00,1
XAUUSD.mg,698,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-03 18:00:00,2024-09-03 22:00:00,3
XAUUSD.mg,699,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-04 00:00:00,2024-09-04 04:00:00,3
XAUUSD.mg,700,balance_stability,NONE,BALANCE_STABILITY,2024-09-04 14:00:00,2024-09-05 04:00:00,8
XAUUSD.mg,701,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-09-05 14:00:00,2024-09-06 06:00:00,3
XAUUSD.mg,702,state_reinforcement,SHORT,STATE_REINFORCEMENT,2024-09-09 06:00:00,2024-09-09 06:00:00,1
XAUUSD.mg,703,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-09-10 20:00:00,2024-09-10 20:00:00,1
XAUUSD.mg,704,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-11 02:00:00,2024-09-11 12:00:00,5
XAUUSD.mg,705,balance_stability,NONE,BALANCE_STABILITY,2024-09-12 02:00:00,2024-09-12 10:00:00,4
XAUUSD.mg,706,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-12 22:00:00,2024-09-13 06:00:00,4
XAUUSD.mg,707,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-09-13 14:00:00,2024-09-13 20:00:00,4
XAUUSD.mg,708,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-13 22:00:00,2024-09-16 02:00:00,3
XAUUSD.mg,709,transition_persistence_flat,NONE,TRANSITION_PERSISTENCE,2024-09-16 08:00:00,2024-09-16 08:00:00,1
XAUUSD.mg,710,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-16 10:00:00,2024-09-16 12:00:00,2
XAUUSD.mg,711,balance_stability,NONE,BALANCE_STABILITY,2024-09-16 20:00:00,2024-09-17 02:00:00,4
XAUUSD.mg,712,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-17 12:00:00,2024-09-19 02:00:00,5
XAUUSD.mg,713,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-09-20 16:00:00,2024-09-23 06:00:00,5
XAUUSD.mg,714,transition_persistence_flat,NONE,TRANSITION_PERSISTENCE,2024-09-23 10:00:00,2024-09-23 10:00:00,1
XAUUSD.mg,715,balance_stability,NONE,BALANCE_STABILITY,2024-09-23 20:00:00,2024-09-23 20:00:00,1
XAUUSD.mg,716,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-24 02:00:00,2024-09-24 02:00:00,1
XAUUSD.mg,717,balance_stability,NONE,BALANCE_STABILITY,2024-09-24 06:00:00,2024-09-24 06:00:00,1
XAUUSD.mg,718,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-25 00:00:00,2024-09-25 06:00:00,4
XAUUSD.mg,719,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-25 08:00:00,2024-09-25 08:00:00,1
XAUUSD.mg,720,transition_persistence_flat,NONE,TRANSITION_PERSISTENCE,2024-09-25 10:00:00,2024-09-25 10:00:00,1
XAUUSD.mg,721,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-25 12:00:00,2024-09-25 12:00:00,1
XAUUSD.mg,722,balance_stability,NONE,BALANCE_STABILITY,2024-09-25 20:00:00,2024-09-26 02:00:00,4
XAUUSD.mg,723,transition_persistence_flat,NONE,TRANSITION_PERSISTENCE,2024-09-26 14:00:00,2024-09-26 14:00:00,1
XAUUSD.mg,724,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-26 22:00:00,2024-09-26 22:00:00,1
XAUUSD.mg,725,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-27 00:00:00,2024-09-27 00:00:00,1
XAUUSD.mg,726,balance_stability,NONE,BALANCE_STABILITY,2024-09-27 04:00:00,2024-09-27 10:00:00,3
XAUUSD.mg,727,state_reinforcement,SHORT,STATE_REINFORCEMENT,2024-09-27 20:00:00,2024-09-27 20:00:00,1
XAUUSD.mg,728,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-27 22:00:00,2024-09-30 00:00:00,2
XAUUSD.mg,729,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-09-30 04:00:00,2024-09-30 04:00:00,1
XAUUSD.mg,730,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-09-30 08:00:00,2024-09-30 08:00:00,1
XAUUSD.mg,731,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-01 02:00:00,2024-10-01 04:00:00,2
XAUUSD.mg,732,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-10-01 18:00:00,2024-10-01 20:00:00,2
XAUUSD.mg,733,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-01 22:00:00,2024-10-02 00:00:00,2
XAUUSD.mg,734,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-02 02:00:00,2024-10-02 04:00:00,2
XAUUSD.mg,735,balance_stability,NONE,BALANCE_STABILITY,2024-10-02 08:00:00,2024-10-04 04:00:00,8
XAUUSD.mg,736,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-04 08:00:00,2024-10-04 10:00:00,2
XAUUSD.mg,737,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-04 16:00:00,2024-10-04 22:00:00,3
XAUUSD.mg,738,balance_stability,NONE,BALANCE_STABILITY,2024-10-07 18:00:00,2024-10-08 06:00:00,4
XAUUSD.mg,739,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-08 22:00:00,2024-10-09 02:00:00,3
XAUUSD.mg,740,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-09 04:00:00,2024-10-09 06:00:00,2
XAUUSD.mg,741,balance_stability,NONE,BALANCE_STABILITY,2024-10-10 06:00:00,2024-10-10 12:00:00,2
XAUUSD.mg,742,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-10-11 02:00:00,2024-10-11 08:00:00,4
XAUUSD.mg,743,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-14 00:00:00,2024-10-14 00:00:00,1
XAUUSD.mg,744,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-14 02:00:00,2024-10-14 02:00:00,1
XAUUSD.mg,745,balance_stability,NONE,BALANCE_STABILITY,2024-10-15 02:00:00,2024-10-15 02:00:00,1
XAUUSD.mg,746,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-15 08:00:00,2024-10-15 12:00:00,2
XAUUSD.mg,747,transition_persistence_flat,NONE,TRANSITION_PERSISTENCE,2024-10-15 14:00:00,2024-10-15 14:00:00,1
XAUUSD.mg,748,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-15 22:00:00,2024-10-16 16:00:00,4
