symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,look_for_rule,baseline_id,base_state,quality_label_full,control_p_mean,uplift,uplift_pp
US500.spot.mg,M30,baseline,PARENT_ESTRATO,4.0,1.0,4.0,1.0,0.0,0.0,LOOK_FOR_balance_overnight_compression,BALANCE_STABILITY,BALANCE,BALANCE_COMPRESSING,0.8,0.19999999999999996,19.999999999999996
US500.spot.mg,M30,baseline,PARENT_ESTRATO,164.0,32.0,5.125,0.6097560975609756,0.48929892405272707,0.0,LOOK_FOR_balance_overnight_compression,BALANCE_STABILITY,BALANCE,BALANCE_LEAKING,0.5808080808080808,0.028948016752894823,2.8948016752894823
US500.spot.mg,M30,baseline,PARENT_ESTRATO,167.0,29.0,5.758620689655173,0.7604790419161677,0.42807471533309516,0.0,LOOK_FOR_balance_overnight_compression,BALANCE_STABILITY,BALANCE,BALANCE_UNCLASSIFIED,0.7196702002355713,0.0408088416805964,4.08088416805964
US500.spot.mg,M30,baseline,PARENT_ESTRATO,20.0,5.0,4.0,0.0,0.0,0.0,LOOK_FOR_transition_repricing_london,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_NOISY,0.0669710806697108,-0.0669710806697108,-6.69710806697108
US500.spot.mg,M30,baseline,PARENT_ESTRATO,156.0,33.0,4.7272727272727275,0.20512820512820512,0.405095746833467,0.0,LOOK_FOR_transition_repricing_london,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_UNCLASSIFIED,0.15520504731861198,0.04992315780959314,4.992315780959314
US500.spot.mg,M30,baseline,PARENT_ESTRATO,16.0,4.0,4.0,0.5,0.5163977794943222,0.0,LOOK_FOR_transition_repricing_ny,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_NOISY,0.7940131912734653,-0.29401319127346526,-29.401319127346525
US500.spot.mg,M30,baseline,PARENT_ESTRATO,70.0,18.0,3.888888888888889,0.6285714285714286,0.48667545866870404,0.0,LOOK_FOR_transition_repricing_ny,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_UNCLASSIFIED,0.7451104100946372,-0.11653898152320863,-11.653898152320863
US500.spot.mg,M30,baseline,PARENT_ESTRATO,296.0,31.0,9.548387096774194,0.7972972972972973,0.4026936331284149,0.0,LOOK_FOR_trend_pullback_asia,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.7203125,0.07698479729729724,7.698479729729724
US500.spot.mg,M30,baseline,PARENT_ESTRATO,164.0,18.0,9.11111111111111,0.926829268292683,0.26121414503728463,0.0,LOOK_FOR_trend_pullback_asia,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED,0.6834532374100719,0.24337603088261106,24.337603088261105
