# TOPLINE
symbol,entry_mode,mode,time_stop_bars,setup_families,side,trigger_unit,allow_overlapping_trades,max_positions,use_spread,has_spread_column,point_size,mean_spread_ret,exit_mode,arm_state_value,catastrophic_sl_bps,tp_k,sl_k,n_trades,trades_per_week,ev_per_trade,ev_month_est,winrate,max_drawdown
EURUSD.mg,next_open,long,10,state_reinforcement,LONG,bars,False,1,True,True,1e-05,0.00023927026334682615,fixed,2.0,350.0,1.5,1.0,50,0.4794520547945205,1.4356198147003054e-05,2.9803860673675517e-05,0.46,-0.013512276602300588

# YEARLY
year,trades,ev_trade,winrate,p5,p50,p95
2023,30,0.00032847948087341597,0.5,-0.002725532004700719,3.570933615588826e-05,0.0034821475878142336
2024,20,-0.0004568287259426163,0.4,-0.0027953004407374306,-0.001470593689208943,0.0027344939277862564
