symbol,episode_id,setup_family,baseline_id,intent_side,entry_ts,horizon_bars,entry_close,mfe_points,mae_points,mfe_bps,mae_bps,mfe_gt_mae,exit_ts,n_window,is_virtual_pair,ooto_tp_bps,ooto_sl_bps,ooto_outcome
EURUSD.mg,2,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-01-06 12:00:00,16,1.06181,0.01419999999999999,0.009399999999999853,133.73390719620264,88.52807941156944,True,2023-01-09 16:00:00,16,False,,,
EURUSD.mg,4,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-02-13 12:00:00,16,1.07156,0.008750000000000036,0.0014700000000000824,81.6566501175859,13.718317219755145,True,2023-02-14 18:00:00,16,False,,,
EURUSD.mg,6,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-03-01 08:00:00,16,1.06856,0.00046999999999997044,0.011039999999999939,4.398442764093457,103.3166130119033,False,2023-03-02 14:00:00,16,False,,,
EURUSD.mg,8,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-03-06 10:00:00,16,1.06676,0.0025600000000001177,0.012270000000000003,23.99790018373503,115.02118564625599,False,2023-03-07 16:00:00,16,False,,,
EURUSD.mg,10,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-03-20 10:00:00,16,1.07254,0.006170000000000009,0.0023800000000000487,57.526992000298435,22.190314580342445,True,2023-03-21 16:00:00,16,False,,,
EURUSD.mg,12,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-04-24 12:00:00,16,1.10429,0.0022999999999999687,0.007989999999999942,20.827862246329936,72.35418232529446,False,2023-04-25 18:00:00,16,False,,,
EURUSD.mg,14,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-06-01 10:00:00,16,1.07496,0.0028200000000000447,0.004589999999999872,26.233534271043062,42.69926322839801,False,2023-06-02 16:00:00,16,False,,,
EURUSD.mg,16,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-06-08 10:00:00,16,1.07775,0.0008300000000001084,0.0036000000000000476,7.701229413130211,33.40292275574157,False,2023-06-09 16:00:00,16,False,,,
EURUSD.mg,18,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-07-07 10:00:00,16,1.09617,0.0037399999999998546,0.005330000000000057,34.11879544231145,48.62384484158531,False,2023-07-10 14:00:00,16,False,,,
EURUSD.mg,20,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-08-10 08:00:00,16,1.10381,0.0025900000000000922,0.009639999999999871,23.46418314746281,87.33387086545575,False,2023-08-11 14:00:00,16,False,,,
EURUSD.mg,22,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-08-29 12:00:00,16,1.08725,0.00719000000000003,0.0027000000000001467,66.13014486088784,24.833295010348554,True,2023-08-30 18:00:00,16,False,,,
EURUSD.mg,24,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-09-20 12:00:00,16,1.07341,0.0001500000000000945,0.011840000000000073,1.3974157125431523,110.30268024333733,False,2023-09-21 18:00:00,16,False,,,
EURUSD.mg,26,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-10-19 12:00:00,16,1.05951,0.0020100000000000673,0.0040199999999999125,18.971033779766753,37.94206755953141,False,2023-10-22 18:00:00,16,False,,,
EURUSD.mg,28,state_reinforcement,STATE_REINFORCEMENT,LONG,2023-11-02 08:00:00,16,1.06628,0.008260000000000156,0.005349999999999966,77.465581273213,50.17443823385946,True,2023-11-03 14:00:00,16,False,,,
