symbol,score_tf,edge_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,baseline_id,base_state
US500.spot.mg,M30,baseline,1662.0,144.0,11.541666666666666,0.012033694344163659,0.10906897914342359,0.0,BALANCE_ESCAPE,BALANCE
US500.spot.mg,M30,baseline,1662.0,144.0,11.541666666666666,0.6666666666666666,0.47154640326852143,0.0,BALANCE_STABILITY,BALANCE
US500.spot.mg,M30,baseline,6899.0,295.0,23.386440677966103,0.8642494561276287,0.3425483203079459,0.0005797941730685607,TRANSITION_NOISE,TRANSITION
US500.spot.mg,M30,baseline,6899.0,295.0,23.386440677966103,0.1357505438723713,0.3425483203079459,0.0005797941730685607,TRANSITION_RESOLUTION,TRANSITION
US500.spot.mg,M30,baseline,3227.0,224.0,14.40625,0.29718004338394793,0.4570873102305987,0.0,STATE_FRAGILITY,TREND
US500.spot.mg,M30,baseline,3227.0,224.0,14.40625,0.702819956616052,0.4570873102305987,0.0,STATE_REINFORCEMENT,TREND
