symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,look_for_rule,baseline_id,base_state,control_p_mean,uplift,uplift_pp
US500.spot.mg,M30,baseline,PARENT_ESTRATO,240.0,37.0,6.486486486486487,0.725,0.44744743269005427,0.0,LOOK_FOR_balance_compression,BALANCE_STABILITY,BALANCE,0.6666666666666666,0.05833333333333335,5.833333333333335
US500.spot.mg,M30,baseline,PARENT_ESTRATO,8.0,2.0,4.0,0.0,0.0,0.0,LOOK_FOR_transition_inventory_reset,TRANSITION_RESOLUTION,TRANSITION,0.1357505438723713,-0.1357505438723713,-13.57505438723713
US500.spot.mg,M30,baseline,PARENT_ESTRATO,294.0,60.0,4.9,0.24489795918367346,0.43075989264934483,0.0,LOOK_FOR_transition_initiative,TRANSITION_RESOLUTION,TRANSITION,0.1357505438723713,0.10914741531130218,10.914741531130218
US500.spot.mg,M30,baseline,PARENT_ESTRATO,548.0,51.0,10.745098039215685,0.7883211678832117,0.4088715810480871,0.0,LOOK_FOR_trend_orderly_pullback_asia,STATE_REINFORCEMENT,TREND,0.702819956616052,0.0855012112671597,8.55012112671597
US500.spot.mg,M30,baseline,PARENT_ESTRATO,367.0,53.0,6.9245283018867925,0.6294277929155313,0.4836173459029678,0.0,LOOK_FOR_trend_orderly_pullback_west,STATE_REINFORCEMENT,TREND,0.702819956616052,-0.07339216370052071,-7.339216370052071
US500.spot.mg,M30,baseline,PARENT_ESTRATO,208.0,23.0,9.043478260869565,0.8269230769230769,0.3792264614054508,0.0,LOOK_FOR_trend_overextended,STATE_REINFORCEMENT,TREND,0.702819956616052,0.12410312030702486,12.410312030702485
