symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,look_for_rule,baseline_id,base_state,quality_label_full,control_p_mean,uplift,uplift_pp
US500.spot.mg,M30,baseline,PARENT_ESTRATO,258.0,56.0,4.607142857142857,0.27906976744186046,0.44941369822955635,0.0,LOOK_FOR_transition_initiative,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_UNCLASSIFIED,0.14922403501790688,0.12984573242395359,12.984573242395358
US500.spot.mg,M30,baseline,PARENT_ESTRATO,308.0,38.0,8.105263157894736,0.8051948051948052,0.39669517630609197,0.0,LOOK_FOR_trend_orderly_pullback_asia,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.7058543550690147,0.09934045012579051,9.934045012579052
US500.spot.mg,M30,baseline,PARENT_ESTRATO,202.0,31.0,6.516129032258065,0.693069306930693,0.4623662750321208,0.0,LOOK_FOR_trend_orderly_pullback_west,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.7058543550690147,-0.012785048138321708,-1.2785048138321708
