# TOPLINE
symbol,entry_mode,mode,time_stop_bars,setup_families,side,trigger_unit,allow_overlapping_trades,max_positions,use_spread,has_spread_column,point_size,mean_spread_ret,exit_mode,arm_state_value,catastrophic_sl_bps,tp_k,sl_k,n_trades,trades_per_week,ev_per_trade,ev_month_est,winrate,max_drawdown
US500.spot.mg,next_open,long,10,state_reinforcement,SHORT,bars,False,1,True,True,0.01,0.00021020222625049278,fixed,2.0,350.0,1.5,1.0,50,0.4807692307692308,-0.00024292413630139532,-0.0005057026491274239,0.46,-0.037839935431476124

# YEARLY
year,trades,ev_trade,winrate,p5,p50,p95
2023,25,-0.0010632235915237333,0.36,-0.006678936011144237,-0.0037942114561472155,0.00653965498277196
2024,25,0.0005773753189209429,0.56,-0.00645057860479879,0.0030558965009532453,0.006278771364765094
