symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,look_for_rule,baseline_id,base_state,quality_label_full,control_p_mean,uplift,uplift_pp
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,949.0,142.0,6.683098591549296,0.6775553213909379,0.4676585995845966,0.0,LOOK_FOR_balance_vwap_proximity,BALANCE_STABILITY,BALANCE,BALANCE_LEAKING,0.5871559633027523,0.09039935808818556,9.039935808818555
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,1012.0,155.0,6.529032258064516,0.7579051383399209,0.42856321375412887,0.0,LOOK_FOR_balance_vwap_proximity,BALANCE_STABILITY,BALANCE,BALANCE_UNCLASSIFIED,0.7234927234927235,0.03441241484719737,3.441241484719737
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,912.0,119.0,7.663865546218488,0.7609649122807017,0.42672823002711985,0.0,LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.7025504151838672,0.05841449709683455,5.841449709683455
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,558.0,77.0,7.246753246753247,0.7383512544802867,0.4399267181387802,0.0,LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED,0.6347165400350672,0.10363471444521954,10.363471444521954
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,318.0,48.0,6.625,0.7735849056603774,0.4191704034794752,0.0,LOOK_FOR_trend_prev_vwap_pullback,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.7025504151838672,0.07103449047651023,7.103449047651022
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,336.0,48.0,7.0,0.6785714285714286,0.46772141946463436,0.0,LOOK_FOR_trend_prev_vwap_pullback,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED,0.6347165400350672,0.043854888536361436,4.385488853636144
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,2264.0,275.0,8.232727272727272,0.818904593639576,0.3851822848636676,0.0,LOOK_FOR_transition_chop_near_vwap,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_NOISY,0.8127356514453289,0.006168942194247129,0.6168942194247129
XAUUSD.mg,M30,baseline,PARENT_ESTRATO,1814.0,230.0,7.886956521739131,0.7960308710033076,0.4030574150125366,0.0,LOOK_FOR_transition_chop_near_vwap,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_UNCLASSIFIED,0.7382274544646824,0.057803416538625196,5.78034165386252
