symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,look_for_rule,baseline_id,base_state,control_p_mean,uplift,uplift_pp
EURUSD.mg,M30,baseline,PARENT_ESTRATO,732.0,114.0,6.421052631578948,0.73224043715847,0.44309433902238093,0.0,LOOK_FOR_balance_recent_centered,BALANCE_STABILITY,BALANCE,0.6663433559650824,0.06589708119338755,6.589708119338756
EURUSD.mg,M30,baseline,PARENT_ESTRATO,426.0,66.0,6.454545454545454,0.7370892018779343,0.44073198634658817,0.0,LOOK_FOR_balance_compression,BALANCE_STABILITY,BALANCE,0.6663433559650824,0.07074584591285182,7.074584591285182
EURUSD.mg,M30,baseline,PARENT_ESTRATO,1914.0,221.0,8.660633484162895,0.9341692789968652,0.24805076916727903,0.0,LOOK_FOR_transition_rotation_no_impulse,TRANSITION_NOISE,TRANSITION,0.8720146108457432,0.06215466815112203,6.215466815112203
EURUSD.mg,M30,baseline,PARENT_ESTRATO,416.0,84.0,4.9523809523809526,0.8365384615384616,0.37023149835280994,0.0,LOOK_FOR_trend_reinforcement_clean,STATE_REINFORCEMENT,TREND,0.7079032506547527,0.12863521088370888,12.863521088370888
