symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
USDCLP.mg,48,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-08 14:00:00,2023-03-08 14:00:00,1
USDCLP.mg,49,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-03-09 16:00:00,2023-03-10 16:00:00,2
USDCLP.mg,50,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-10 17:00:00,2023-03-10 19:00:00,2
USDCLP.mg,51,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-13 13:00:00,2023-03-13 18:00:00,4
USDCLP.mg,52,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-13 19:00:00,2023-03-13 20:00:00,2
USDCLP.mg,53,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-13 21:00:00,2023-03-14 13:00:00,2
USDCLP.mg,54,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-14 15:00:00,2023-03-14 19:00:00,4
USDCLP.mg,55,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-14 20:00:00,2023-03-17 16:00:00,7
USDCLP.mg,56,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-21 13:00:00,2023-03-22 16:00:00,3
USDCLP.mg,57,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-03-22 18:00:00,2023-03-22 18:00:00,1
USDCLP.mg,58,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-23 14:00:00,2023-03-23 14:00:00,1
USDCLP.mg,59,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-03-23 16:00:00,2023-03-23 16:00:00,1
USDCLP.mg,60,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-23 20:00:00,2023-03-23 20:00:00,1
USDCLP.mg,61,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-23 21:00:00,2023-03-24 18:00:00,6
USDCLP.mg,62,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-24 19:00:00,2023-03-24 20:00:00,2
USDCLP.mg,63,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-27 13:00:00,2023-03-27 13:00:00,1
USDCLP.mg,64,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-03-27 15:00:00,2023-03-29 15:00:00,2
USDCLP.mg,65,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-29 18:00:00,2023-03-29 18:00:00,1
USDCLP.mg,66,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-29 20:00:00,2023-03-30 13:00:00,3
USDCLP.mg,67,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-30 14:00:00,2023-03-30 18:00:00,5
USDCLP.mg,68,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-30 19:00:00,2023-03-30 21:00:00,3
USDCLP.mg,69,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-03-31 20:00:00,2023-03-31 20:00:00,1
USDCLP.mg,70,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-03 14:00:00,2023-04-04 14:00:00,3
USDCLP.mg,71,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-05 15:00:00,2023-04-05 15:00:00,1
USDCLP.mg,72,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-04-05 16:00:00,2023-04-05 16:00:00,1
USDCLP.mg,73,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-05 18:00:00,2023-04-05 20:00:00,3
USDCLP.mg,74,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-05 22:00:00,2023-04-05 22:00:00,1
USDCLP.mg,75,transition_persistence_flat,NONE,TRANSITION_PERSISTENCE,2023-04-06 14:00:00,2023-04-06 14:00:00,1
USDCLP.mg,76,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-06 15:00:00,2023-04-10 15:00:00,4
USDCLP.mg,77,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-10 22:00:00,2023-04-13 16:00:00,8
USDCLP.mg,78,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-04-13 17:00:00,2023-04-13 17:00:00,1
USDCLP.mg,79,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-14 14:00:00,2023-04-14 14:00:00,1
USDCLP.mg,80,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-14 15:00:00,2023-04-14 15:00:00,1
USDCLP.mg,81,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-14 16:00:00,2023-04-14 19:00:00,4
USDCLP.mg,82,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-14 20:00:00,2023-04-14 21:00:00,2
USDCLP.mg,83,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-17 15:00:00,2023-04-17 19:00:00,4
USDCLP.mg,84,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-17 22:00:00,2023-04-18 20:00:00,8
USDCLP.mg,85,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-18 21:00:00,2023-04-19 15:00:00,4
USDCLP.mg,86,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-04-19 17:00:00,2023-04-19 17:00:00,1
USDCLP.mg,87,transition_resolution_flat,NONE,TRANSITION_RESOLUTION,2023-04-19 19:00:00,2023-04-19 19:00:00,1
USDCLP.mg,88,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-20 14:00:00,2023-04-20 14:00:00,1
USDCLP.mg,89,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-04-20 18:00:00,2023-04-20 18:00:00,1
USDCLP.mg,90,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-20 21:00:00,2023-04-21 14:00:00,3
USDCLP.mg,91,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-04-25 17:00:00,2023-04-27 21:00:00,5
USDCLP.mg,92,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-04-27 22:00:00,2023-04-28 16:00:00,4
