setup_family,intent_side,n,median_mfe_bps,median_mae_bps,p_mfe_gt_mae,ooto_win_rate,ooto_loss_rate,ooto_discard_rate,ooto_none_rate,go_nogo
transition_persistence,LONG,219,75.87168758716825,60.050399442388176,0.5662100456621004,,,,,GO
transition_persistence,SHORT,205,65.40735701951756,71.63236811752537,0.4585365853658537,,,,,NO-GO
transition_resolution,LONG,114,93.63104033760092,69.65950923106669,0.5701754385964912,0.22807017543859648,0.7631578947368421,0.0,0.008771929824561403,GO
transition_resolution,SHORT,92,69.17556744396744,66.34235696303165,0.5108695652173914,0.17391304347826086,0.75,0.0,0.07608695652173914,HOLD
