symbol,setup_family,baseline_id,episode_id,intent_side,entry_ts,horizon_bars,is_virtual_pair
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,61,LONG,2023-03-23 21:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,62,SHORT,2023-03-24 19:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,63,LONG,2023-03-27 13:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,64,SHORT,2023-03-27 15:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,65,SHORT,2023-03-29 18:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,66,LONG,2023-03-29 20:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,67,SHORT,2023-03-30 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,68,LONG,2023-03-30 19:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,69,LONG,2023-03-31 20:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,70,LONG,2023-04-03 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,71,SHORT,2023-04-05 15:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,72,LONG,2023-04-05 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,73,LONG,2023-04-05 18:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,74,SHORT,2023-04-05 22:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,76,LONG,2023-04-06 15:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,77,SHORT,2023-04-10 22:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,78,SHORT,2023-04-13 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,79,LONG,2023-04-14 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,80,SHORT,2023-04-14 15:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,81,LONG,2023-04-14 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,82,SHORT,2023-04-14 20:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,83,LONG,2023-04-17 15:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,84,SHORT,2023-04-17 22:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,85,LONG,2023-04-18 21:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,86,SHORT,2023-04-19 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,88,SHORT,2023-04-20 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,89,SHORT,2023-04-20 18:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,90,LONG,2023-04-20 21:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,91,SHORT,2023-04-25 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,92,LONG,2023-04-27 22:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,93,LONG,2023-04-28 20:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,94,LONG,2023-05-02 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,95,SHORT,2023-05-03 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,97,SHORT,2023-05-04 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,98,LONG,2023-05-04 15:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,99,SHORT,2023-05-04 16:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,100,SHORT,2023-05-04 21:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,101,SHORT,2023-05-08 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,102,LONG,2023-05-08 18:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,103,SHORT,2023-05-09 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,104,LONG,2023-05-10 20:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,105,SHORT,2023-05-10 21:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,106,LONG,2023-05-11 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,107,SHORT,2023-05-12 16:00:00,16,False
