symbol,episode_id,setup_family,baseline_id,intent_side,entry_ts,horizon_bars,entry_close,mfe_points,mae_points,mfe_bps,mae_bps,mfe_gt_mae,exit_ts,n_window,is_virtual_pair,ooto_tp_bps,ooto_sl_bps,ooto_outcome
USDCLP.mg,4,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-01-13 13:00:00,16,823.65,4.649999999999977,7.649999999999977,56.4560189400835,92.879256965944,False,2023-01-17 16:00:00,16,False,,,
USDCLP.mg,6,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-01-13 16:00:00,16,826.55,1.75,12.25,21.172342870969693,148.20640009678786,False,2023-01-17 20:00:00,16,False,,,
USDCLP.mg,8,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-01-17 13:00:00,16,823.7,6.199999999999932,16.200000000000045,75.27012261745698,196.6735461940032,False,2023-01-19 14:00:00,16,False,,,
USDCLP.mg,12,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-01-19 13:00:00,16,828.35,5.149999999999977,19.050000000000068,62.17178728798185,229.9752520070027,False,2023-01-23 15:00:00,16,False,,,
USDCLP.mg,16,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-01-25 14:00:00,16,804.4,2.800000000000068,8.350000000000023,34.80855295872785,103.80407757334687,False,2023-01-27 15:00:00,16,False,,,
USDCLP.mg,19,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-01-30 14:00:00,16,809.3,3.6000000000000227,20.399999999999977,44.482886445076275,252.06968985543037,False,2023-02-01 15:00:00,16,False,,,
USDCLP.mg,21,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-01-31 13:00:00,16,810.4,1.5,31.100000000000023,18.509378084896348,383.76110562685125,False,2023-02-02 14:00:00,16,False,,,
USDCLP.mg,24,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-02-06 13:00:00,16,804.4,4.7000000000000455,16.299999999999955,58.42864246643518,202.63550472401735,False,2023-02-08 14:00:00,16,False,,,
USDCLP.mg,28,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-02-09 13:00:00,16,796.35,8.549999999999955,4.550000000000068,107.3648521378785,57.135681547059306,True,2023-02-13 15:00:00,16,False,,,
USDCLP.mg,31,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-02-10 13:00:00,16,802.8,2.1000000000000227,17.59999999999991,26.15844544095694,219.2326856003975,False,2023-02-14 15:00:00,16,False,,,
USDCLP.mg,33,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-02-13 20:00:00,16,794.7,2.699999999999932,9.700000000000045,33.975084937711486,122.0586384799301,False,2023-02-16 13:00:00,16,False,,,
USDCLP.mg,35,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-02-15 13:00:00,16,789.6,11.399999999999977,1.8999999999999773,144.37689969604833,24.062816616007815,True,2023-02-17 14:00:00,16,False,,,
USDCLP.mg,39,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-02-21 13:00:00,16,797.8,5.400000000000091,5.399999999999977,67.68613687641127,67.68613687640985,True,2023-02-23 14:00:00,16,False,,,
USDCLP.mg,41,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-02-22 20:00:00,16,800.4,30.5,6.0499999999999545,381.05947026486757,75.58720639680104,True,2023-02-27 14:00:00,16,False,,,
USDCLP.mg,44,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-03-02 16:00:00,16,813.2,4.099999999999909,16.65000000000009,50.418101328085456,204.7466797835722,False,2023-03-06 19:00:00,16,False,,,
USDCLP.mg,48,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-03-08 14:00:00,16,801.3,3.800000000000068,7.2999999999999545,47.422937726195784,91.10195931611077,False,2023-03-09 20:00:00,16,False,,,
USDCLP.mg,51,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-03-13 13:00:00,16,803.4,8.700000000000045,8.449999999999932,108.28976848394382,105.17799352750724,True,2023-03-14 19:00:00,16,False,,,
